delivery_days,delay_days,is_late,payment_value,payment_installments,payment_type,total_price,freight_value,freight_ratio,customer_state,product_weight_g,product_photos_qty,product_description_lenght,product_volume,review_label
7.0,-14.0,0,245.68,1.0,0,229.9,15.78,0.06863853849499782,25,414.0,2.0,476.0,6210.0,1
4.0,-15.0,0,90.05,1.0,1,78.0,12.05,0.1544871794871795,25,300.0,4.0,1692.0,2520.0,1
5.0,-8.0,0,88.22,3.0,1,75.25,12.97,0.17235880398671097,25,200.0,2.0,1004.0,4000.0,1
11.0,-30.0,0,101.38,8.0,1,48.9,52.48,1.0732106339468301,20,600.0,1.0,1629.0,3380.0,1
11.0,-7.0,0,103.28,2.0,1,79.8,23.48,0.2942355889724311,25,450.0,2.0,308.0,6125.0,0
17.0,-14.0,0,45.09,1.0,1,29.99,15.1,0.5035011670556853,8,150.0,3.0,751.0,816.0,1
2.0,-8.0,0,26.38,1.0,1,18.99,7.39,0.38915218536071616,25,250.0,1.0,80.0,2304.0,1
16.0,2.0,1,95.52,1.0,1,78.98,16.54,0.20942010635603947,25,125.0,1.0,1622.0,4590.0,0
13.0,-20.0,0,155.77,4.0,1,119.8,35.97,0.3002504173622704,18,4250.0,1.0,1235.0,8000.0,1
24.0,1.0,1,383.03,1.0,0,330.0,53.03,0.1606969696969697,9,400.0,6.0,2644.0,2992.0,1
44.0,-4.0,0,145.58,1.0,1,106.99,38.59,0.3606879147583887,22,8683.0,1.0,1141.0,107136.0,0
14.0,-14.0,0,51.5,1.0,1,34.9,16.6,0.4756446991404012,25,1100.0,2.0,701.0,7200.0,1
16.0,-8.0,0,80.1,1.0,0,64.9,15.2,0.23420647149460705,10,250.0,1.0,272.0,864.0,1
13.0,-17.0,0,94.66,1.0,1,74.9,19.76,0.2638184245660881,4,1917.0,1.0,476.0,15318.0,1
11.0,-8.0,0,28.93,1.0,0,13.7,15.23,1.1116788321167883,6,200.0,1.0,425.0,3872.0,0
21.0,-31.0,0,115.45,1.0,1,99.0,16.45,0.16616161616161615,25,250.0,1.0,442.0,4096.0,1
13.0,-9.0,0,136.2,4.0,1,99.99,36.21,0.36213621362136217,25,5925.0,1.0,512.0,29376.0,1
23.0,-4.0,0,40.09,2.0,1,24.99,15.1,0.6042416966786714,17,100.0,4.0,792.0,816.0,1
12.0,-10.0,0,138.21,1.0,1,125.0,13.21,0.10568000000000001,25,400.0,7.0,466.0,2205.0,1
6.0,-20.0,0,747.12,10.0,1,729.0,18.12,0.024855967078189302,25,1740.0,1.0,557.0,46002.0,1
9.0,-23.0,0,99.11,1.0,1,76.0,23.11,0.30407894736842106,22,1100.0,2.0,383.0,8000.0,1
29.0,10.0,1,168.83,1.0,2,149.9,18.93,0.12628418945963976,18,1000.0,1.0,627.0,2560.0,0
3.0,-12.0,0,277.75,2.0,1,269.0,8.75,0.032527881040892194,25,400.0,1.0,615.0,2244.0,1
12.0,-10.0,0,54.03,5.0,1,34.99,19.04,0.5441554729922835,15,150.0,6.0,334.0,624.0,1
6.0,-8.0,0,305.16,10.0,1,279.8,25.36,0.0906361686919228,25,1550.0,1.0,270.0,14440.0,1
8.0,-22.0,0,42.52,1.0,1,24.89,17.63,0.7083165930092407,4,100.0,3.0,1138.0,3456.0,0
6.0,-19.0,0,31.75,1.0,1,19.9,11.85,0.5954773869346733,25,100.0,3.0,409.0,816.0,1
8.0,-15.0,0,99.7,5.0,1,79.9,19.8,0.24780976220275344,25,1850.0,1.0,594.0,19872.0,1
3.0,-12.0,0,170.29,10.0,1,154.9,15.39,0.09935442220787605,25,1450.0,1.0,647.0,4400.0,1
8.0,-14.0,0,376.12,6.0,1,338.0,38.12,0.11278106508875739,17,6450.0,2.0,902.0,8000.0,1
13.0,-19.0,0,137.85,1.0,0,85.9,51.95,0.6047729918509895,10,500.0,2.3333333333333335,676.6666666666666,6965.333333333333,0
6.0,-9.0,0,94.66,6.0,1,86.8,7.86,0.09055299539170508,25,422.0,2.0,214.0,3240.0,1
7.0,-2.0,0,77.78,1.0,0,70.0,7.78,0.11114285714285714,25,233.0,1.0,1156.0,2448.0,1
25.0,-9.0,0,76.66,3.0,1,59.8,16.86,0.2819397993311037,12,240.0,1.0,1271.0,4032.0,1
14.0,-8.0,0,129.27,1.0,0,83.97,45.3,0.5394783851375491,17,200.0,1.0,355.0,3000.0,0
10.0,-37.0,0,171.22,2.0,1,149.9,21.32,0.14222815210140094,18,533.0,1.0,894.0,4840.0,1
15.0,-7.0,0,235.05,1.0,0,175.79999999999998,59.25,0.3370307167235495,25,400.0,1.0,2718.0,2508.0,1
41.0,14.0,1,123.01,3.0,1,105.0,18.01,0.17152380952380955,24,367.0,1.0,227.0,3360.0,0
6.0,-7.0,0,79.14,1.0,1,69.9,9.24,0.13218884120171673,25,895.0,3.0,860.0,5040.0,1
5.0,-7.0,0,189.9,8.0,1,179.9,10.0,0.055586436909394105,25,200.0,1.0,420.0,4410.0,1
5.0,-6.0,0,172.87,1.0,1,150.0,22.87,0.15246666666666667,25,5450.0,1.0,1530.0,12696.0,1
12.0,-28.0,0,144.99,1.0,0,126.99,18.0,0.14174344436569808,8,3250.0,3.0,586.0,9856.0,1
1.0,-15.0,0,121.87,1.0,1,109.9,11.97,0.1089171974522293,25,6050.0,6.0,3189.0,36000.0,1
34.0,14.0,1,86.25,4.0,1,72.0,14.25,0.19791666666666666,17,6050.0,1.0,751.0,36000.0,0
12.0,-14.0,0,538.36,10.0,1,480.0,58.36,0.12158333333333333,25,400.0,2.0,634.0,2100.0,1
4.0,-7.0,0,113.97,2.0,1,105.49,8.48,0.0803867665181534,25,200.0,1.0,2141.0,1536.0,1
6.0,-48.0,0,420.13,8.0,1,388.0,32.13,0.08280927835051546,2,10750.0,3.0,867.0,78584.0,0
3.0,-9.0,0,159.14,1.0,0,149.9,9.24,0.06164109406270847,25,200.0,6.0,790.0,1870.0,0
7.0,-42.0,0,363.51,10.0,1,349.9,13.61,0.03889682766504716,18,541.0,1.0,210.0,5040.0,1
9.0,-17.0,0,38.0,3.0,1,22.9,15.1,0.6593886462882096,10,800.0,3.0,365.0,3456.0,1
13.0,-4.0,0,185.57,1.0,0,159.94,25.63,0.16024759284731774,25,11700.0,1.0,1205.0,68040.0,0
6.0,-17.0,0,137.99,3.0,1,119.9,18.09,0.15087572977481234,18,4450.0,4.0,478.0,5712.0,1
6.0,-11.0,0,114.66,5.0,1,89.8,24.86,0.276837416481069,25,5675.0,1.0,546.0,37500.0,1
6.0,3.0,1,22.34,1.0,1,14.95,7.39,0.494314381270903,25,213.0,1.0,2021.0,588.0,0
13.0,-15.0,0,40.43,4.0,1,19.9,15.1,0.7587939698492463,8,100.0,1.0,1440.0,1188.0,0
13.0,-5.0,0,43.22,1.0,1,27.99,15.23,0.5441229010360844,10,300.0,6.0,776.0,816.0,1
10.0,-20.0,0,133.48,1.0,0,98.99,34.49,0.3484190322254774,22,400.0,1.0,1249.0,4050.0,1
24.0,-9.0,0,311.1,2.0,1,174.0,137.10000000000002,0.7879310344827587,14,673.0,2.0,188.0,3510.0,1
5.0,-20.0,0,105.28,4.0,1,89.9,15.38,0.1710789766407119,10,1383.0,1.0,245.0,20000.0,1
6.0,-23.0,0,96.02,1.0,3,75.0,21.02,0.28026666666666666,23,4900.0,5.0,446.0,28512.0,1
5.0,-24.0,0,371.88,10.0,1,340.0,31.88,0.09376470588235294,18,125.0,1.0,278.0,2646.0,0
6.0,-6.0,0,163.95,3.0,1,150.0,13.95,0.093,25,4000.0,1.0,616.0,31500.0,1
4.0,-10.0,0,36.78,1.0,1,29.0,7.78,0.26827586206896553,25,200.0,3.0,261.0,352.0,0
21.0,-6.0,0,51.5,1.0,0,34.9,16.6,0.4756446991404012,25,1100.0,2.0,701.0,7200.0,1
3.0,-21.0,0,274.45,5.0,1,239.89000000000001,34.56,0.14406603026387094,25,2100.0,1.0,752.0,15750.0,0
21.0,-6.0,0,243.45,1.0,2,224.0,19.45,0.08683035714285714,8,263.0,1.0,582.0,2652.0,0
13.0,-7.0,0,173.27,2.0,1,149.9,23.37,0.15590393595730487,25,533.0,1.0,894.0,4840.0,1
11.0,-15.0,0,141.48,1.0,0,128.0,13.48,0.1053125,25,1225.0,1.0,687.0,12100.0,1
22.0,0.0,0,756.49,10.0,1,699.0,57.49,0.08224606580829757,6,4920.0,2.0,1363.0,23595.0,1
6.0,-25.0,0,48.3,4.0,1,29.99,18.31,0.610536845615205,10,150.0,3.0,678.0,1904.0,0
8.0,-7.0,0,395.46,6.0,1,385.0,10.46,0.027168831168831172,25,651.0,2.0,438.0,6600.0,1
14.0,-12.0,0,61.0,2.0,1,45.9,15.1,0.3289760348583878,22,150.0,1.0,772.0,2816.0,0
8.0,-19.0,0,31.38,1.0,0,18.9,12.48,0.6603174603174604,25,133.0,1.0,190.0,2772.0,1
5.0,-15.0,0,27.68,1.0,1,19.9,7.78,0.3909547738693468,25,200.0,3.0,952.0,12500.0,1
